,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
0,Avarua,-21.21,-159.78,80.73,77,100,10.47,2020-12-18 05:36:36,CK
1,Hermanus,-34.42,19.23,68,72,0,7,2020-12-18 05:36:36,ZA
2,Visby,57.64,18.3,44.01,93,40,17.22,2020-12-18 05:36:36,SE
3,Aykhal,66,111.5,-31,66,0,2.24,2020-12-18 05:36:36,RU
4,Busselton,-33.65,115.33,80.01,32,0,4,2020-12-18 05:33:34,AU
5,Ust-Kut,56.79,105.77,7.56,91,99,4.72,2020-12-18 05:36:36,RU
6,Ushuaia,-54.8,-68.3,41,75,40,17.22,2020-12-18 05:33:21,AR
7,Punta Arenas,-53.15,-70.92,44.6,87,100,5.82,2020-12-18 05:34:44,CL
8,Georgetown,5.41,100.34,84.2,79,40,2.24,2020-12-18 05:34:24,SH
9,Bogoslovka,53.21,44.8,33.01,64,98,9.46,2020-12-18 05:36:36,RU
10,Laguna,38.42,-121.42,48.99,87,1,4.7,2020-12-18 05:36:36,BR
11,Cape Town,-33.93,18.42,68,60,0,12.75,2020-12-18 05:36:27,ZA
12,Barrow,71.29,-156.79,-9.4,69,1,24.16,2020-12-18 05:36:36,US
13,Harper,4.38,-7.72,78.44,86,42,10.4,2020-12-18 05:36:36,LR
14,Yellowknife,62.46,-114.35,-40,64,5,8.05,2020-12-18 05:32:57,CA
15,Lavrentiya,65.58,-171,9.3,84,88,31.5,2020-12-18 05:36:36,RU
16,Chernyshevskiy,63.01,112.47,-16.28,90,100,2.62,2020-12-18 05:36:36,RU
18,Cherskiy,68.75,161.3,-25.64,86,26,3.56,2020-12-18 05:36:36,RU
19,Grindavik,63.84,-22.43,39.2,68,75,26.4,2020-12-18 05:36:36,IS
20,Coahuayana,18.73,-103.68,70.41,81,2,3.49,2020-12-18 05:36:36,MX
21,Cabedelo,-6.98,-34.83,78.8,83,75,5.82,2020-12-18 05:36:36,BR
22,Pisco,-13.7,-76.22,66.2,88,0,9.17,2020-12-18 05:36:36,PE
23,Hammerfest,70.66,23.68,23,67,0,21.92,2020-12-18 05:36:36,NO
24,Souillac,-20.52,57.52,80.6,69,75,18.34,2020-12-18 05:36:37,MU
26,Mende,44.67,3.5,37.11,100,33,4.18,2020-12-18 05:36:37,FR
29,Bethel,41.37,-73.41,19.99,73,1,5.26,2020-12-18 05:36:38,US
30,Goure,13.98,10.27,64.99,31,30,8.01,2020-12-18 05:36:38,NE
34,Rikitea,-23.12,-134.97,77.49,75,44,18.77,2020-12-18 05:36:38,PF
35,Izmayil,45.35,28.84,39.2,93,100,6.93,2020-12-18 05:36:38,UA
37,Tasiilaq,65.61,-37.64,21.2,73,12,3.85,2020-12-18 05:36:38,GL
38,Ponta Do Sol,32.67,-17.1,59,82,20,1.12,2020-12-18 05:36:38,CV
39,Constitucion,-35.33,-72.42,54.18,91,79,5.32,2020-12-18 05:36:38,MX
40,Upernavik,72.79,-56.15,8.29,85,75,3.83,2020-12-18 05:36:38,GL
41,Pevek,69.7,170.31,1.2,89,39,6.06,2020-12-18 05:36:38,RU
44,Bubaque,11.28,-15.83,79.41,62,34,8.37,2020-12-18 05:36:38,GW
46,Guider,9.93,13.95,69.71,26,64,5.66,2020-12-18 05:35:20,CM
48,Klaksvik,62.23,-6.59,44.6,100,83,20.8,2020-12-18 05:36:38,FO
49,Albany,42.6,-73.97,15.01,78,75,6.93,2020-12-18 05:35:15,AU
50,Broome,42.25,-75.83,19.4,85,90,3.36,2020-12-18 05:36:39,AU
54,Kaitangata,-46.28,169.85,63,86,100,1.01,2020-12-18 05:36:39,NZ
55,Ancud,-41.87,-73.82,51.01,93,0,8.05,2020-12-18 05:36:39,CL
56,Jamestown,42.1,-79.24,19.99,92,90,6.93,2020-12-18 05:36:39,SH
